2025-06-09T13:28:53.008407,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:28:53.008983,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:28:53.013040,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:29:08.058231,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:29:08.058590,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:29:08.063104,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:29:23.104411,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:29:23.104700,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:29:23.108589,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:29:38.142660,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:29:38.142822,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:29:38.146876,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:29:53.186440,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:29:53.186729,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:29:53.192072,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:30:08.236917,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:30:08.237105,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:30:08.240233,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:30:23.278364,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:30:23.278716,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:30:23.283214,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:30:38.312161,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:30:38.312367,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:30:38.316015,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:30:53.363476,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:30:53.363820,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:30:53.368267,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:31:08.415924,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:31:08.416298,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:31:08.421634,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:31:23.469605,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:31:23.469993,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:31:23.475789,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:31:38.521031,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:31:38.521216,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:31:38.525594,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:31:53.575748,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:31:53.576055,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
2025-06-09T13:31:53.580524,ERRO,N/A,Erro ao verificar auditd: Command 'ausearch -k passwd_changes -ts recent -i' returned non-zero exit status 1.
2025-06-09T13:32:08.603988,LOGIN_OK,darkly,jun 09 12:50:05 kali systemd-logind[951]: New session 47 of user darkly.
2025-06-09T13:32:08.604193,LOGIN_OK,darkly,jun 09 12:54:52 kali systemd-logind[951]: New session c9 of user darkly.
